tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2017-03-21,Jakarta Utara,Dini Hari,Berawan Tebal,60 - 95,24 - 33
2017-03-22,Jakarta Timur,Pagi,Hujan Lokal,80 - 95,24 - 32
2017-03-22,Jakarta Barat,Pagi,Hujan Lokal,80 - 95,24 - 32
2017-03-22,Jakarta Selatan,Pagi,Hujan Petir,80 - 95,24 - 32
2017-03-22,Kepulauan Seribu,Pagi,Hujan Sedang,80 - 95,24 - 32
2017-03-22,Jakarta Pusat,Pagi,Hujan Lokal,80 - 95,24 - 32
2017-03-22,Jakarta Utara,Pagi,Hujan Sedang,80 - 95,24 - 32
2017-03-22,Jakarta Timur,Siang,Berawan,80 - 95,24 - 32
2017-03-22,Jakarta Barat,Siang,Hujan Petir,80 - 95,24 - 32
2017-03-22,Jakarta Selatan,Siang,Hujan Lokal,80 - 95,24 - 32
2017-03-22,Kepulauan Seribu,Siang,Hujan Petir,80 - 95,24 - 32
2017-03-22,Jakarta Pusat,Siang,Hujan Sedang,80 - 95,24 - 32
2017-03-22,Jakarta Utara,Siang,Hujan Sedang,80 - 95,24 - 32
2017-03-22,Jakarta Timur,Malam,Hujan Ringan,80 - 95,24 - 32
2017-03-22,Jakarta Barat,Malam,Hujan Sedang,80 - 95,24 - 32
2017-03-22,Jakarta Selatan,Malam,Hujan Ringan,80 - 95,24 - 32
2017-03-22,Kepulauan Seribu,Malam,Hujan Ringan,80 - 95,24 - 32
2017-03-22,Jakarta Pusat,Malam,Hujan Ringan,80 - 95,24 - 32
2017-03-22,Jakarta Utara,Malam,Hujan Sedang,80 - 95,24 - 32
2017-03-22,Jakarta Timur,Dini Hari,Berawan Tebal,80 - 95,24 - 32
2017-03-22,Jakarta Barat,Dini Hari,Berawan Tebal,80 - 95,24 - 32
2017-03-22,Jakarta Selatan,Dini Hari,Berawan Tebal,80 - 95,24 - 32
2017-03-22,Kepulauan Seribu,Dini Hari,Hujan Lokal,80 - 95,24 - 32
2017-03-22,Jakarta Pusat,Dini Hari,Berawan Tebal,80 - 95,24 - 32
2017-03-22,Jakarta Utara,Dini Hari,Berawan Tebal,80 - 95,24 - 32
2017-03-23,Jakarta Timur,Pagi,Hujan Petir,70 - 95,24 - 30
2017-03-23,Jakarta Barat,Pagi,Hujan Lokal,70 - 95,24 - 30
2017-03-23,Jakarta Selatan,Pagi,Hujan Petir,70 - 95,24 - 30
2017-03-23,Kepulauan Seribu,Pagi,Berawan Tebal,70 - 95,24 - 30
2017-03-23,Jakarta Pusat,Pagi,Hujan Lokal,70 - 95,24 - 30
2017-03-23,Jakarta Utara,Pagi,Hujan Lokal,70 - 95,24 - 30
2017-03-23,Jakarta Timur,Siang,Hujan Sedang,70 - 95,24 - 30
2017-03-23,Jakarta Barat,Siang,Hujan Sedang,70 - 95,24 - 30
2017-03-23,Jakarta Selatan,Siang,Hujan Sedang,70 - 95,24 - 30
2017-03-23,Kepulauan Seribu,Siang,Hujan Petir,70 - 95,24 - 30
2017-03-23,Jakarta Pusat,Siang,Hujan Sedang,70 - 95,24 - 30
2017-03-23,Jakarta Utara,Siang,Hujan Petir,70 - 95,24 - 30
2017-03-23,Jakarta Timur,Malam,Hujan Ringan,70 - 95,24 - 30
2017-03-23,Jakarta Barat,Malam,Hujan Sedang,70 - 95,24 - 30
2017-03-23,Jakarta Selatan,Malam,Hujan Ringan,70 - 95,24 - 30
2017-03-23,Kepulauan Seribu,Malam,Hujan Petir,70 - 95,24 - 30
2017-03-23,Jakarta Pusat,Malam,Hujan Sedang,70 - 95,24 - 30
2017-03-23,Jakarta Utara,Malam,Hujan Petir,70 - 95,24 - 30
2017-03-23,Jakarta Timur,Dini Hari,Hujan Ringan,70 - 95,24 - 30
2017-03-23,Jakarta Barat,Dini Hari,Hujan Ringan,70 - 95,24 - 30
2017-03-23,Jakarta Selatan,Dini Hari,Hujan Ringan,70 - 95,24 - 30
2017-03-23,Kepulauan Seribu,Dini Hari,Hujan Petir,70 - 95,24 - 30
2017-03-23,Jakarta Pusat,Dini Hari,Hujan Ringan,70 - 95,24 - 30
2017-03-23,Jakarta Utara,Dini Hari,Hujan Sedang,70 - 95,24 - 30
2017-03-24,Jakarta Timur,Pagi,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Barat,Pagi,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Selatan,Pagi,Hujan Sedang,75 - 100,24 - 31
2017-03-24,Kepulauan Seribu,Pagi,Berawan,75 - 100,24 - 31
2017-03-24,Jakarta Pusat,Pagi,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Utara,Pagi,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Timur,Siang,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Barat,Siang,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Selatan,Siang,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Kepulauan Seribu,Siang,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Pusat,Siang,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Utara,Siang,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Timur,Malam,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Barat,Malam,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Selatan,Malam,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Kepulauan Seribu,Malam,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Pusat,Malam,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Utara,Malam,Hujan Lokal,75 - 100,24 - 31
2017-03-24,Jakarta Timur,Dini Hari,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Barat,Dini Hari,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Selatan,Dini Hari,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Kepulauan Seribu,Dini Hari,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Pusat,Dini Hari,Berawan Tebal,75 - 100,24 - 31
2017-03-24,Jakarta Utara,Dini Hari,Berawan Tebal,75 - 100,24 - 31
2017-03-25,Jakarta Timur,Pagi,Hujan Petir,70 - 90,25 - 31
2017-03-25,Jakarta Barat,Pagi,Hujan Lokal,70 - 90,25 - 31
2017-03-25,Jakarta Selatan,Pagi,Hujan Petir,70 - 90,25 - 31
2017-03-25,Kepulauan Seribu,Pagi,Cerah Berawan,70 - 90,25 - 31
2017-03-25,Jakarta Pusat,Pagi,Hujan Lokal,70 - 90,25 - 31
2017-03-25,Jakarta Utara,Pagi,Cerah Berawan,70 - 90,25 - 31
2017-03-25,Jakarta Timur,Siang,Berawan Tebal,70 - 90,25 - 31
2017-03-25,Jakarta Barat,Siang,Hujan Lokal,70 - 90,25 - 31
2017-03-25,Jakarta Selatan,Siang,Berawan Tebal,70 - 90,25 - 31
2017-03-25,Kepulauan Seribu,Siang,Hujan Petir,70 - 90,25 - 31
2017-03-25,Jakarta Pusat,Siang,Berawan Tebal,70 - 90,25 - 31
2017-03-25,Jakarta Utara,Siang,Berawan Tebal,70 - 90,25 - 31
2017-03-25,Jakarta Timur,Malam,Hujan Sedang,70 - 90,25 - 31
2017-03-25,Jakarta Barat,Malam,Hujan Petir,70 - 90,25 - 31
2017-03-25,Jakarta Selatan,Malam,Hujan Ringan,70 - 90,25 - 31
2017-03-25,Kepulauan Seribu,Malam,Hujan Petir,70 - 90,25 - 31
2017-03-25,Jakarta Pusat,Malam,Hujan Sedang,70 - 90,25 - 31
2017-03-25,Jakarta Utara,Malam,Hujan Petir,70 - 90,25 - 31
2017-03-25,Jakarta Timur,Dini Hari,Berawan Tebal,70 - 90,25 - 31
2017-03-25,Jakarta Barat,Dini Hari,Hujan Lokal,70 - 90,25 - 31
2017-03-25,Jakarta Selatan,Dini Hari,Berawan Tebal,70 - 90,25 - 31
2017-03-25,Kepulauan Seribu,Dini Hari,Hujan Lokal,70 - 90,25 - 31
2017-03-25,Jakarta Pusat,Dini Hari,Hujan Lokal,70 - 90,25 - 31
2017-03-25,Jakarta Utara,Dini Hari,Hujan Lokal,70 - 90,25 - 31
2017-03-26,Jakarta Timur,Pagi,Hujan Petir,65 - 95,24 - 32
2017-03-26,Jakarta Barat,Pagi,Hujan Lokal,65 - 95,24 - 32
2017-03-26,Jakarta Selatan,Pagi,Hujan Petir,65 - 95,24 - 32
2017-03-26,Kepulauan Seribu,Pagi,Cerah Berawan,65 - 95,24 - 32
2017-03-26,Jakarta Pusat,Pagi,Hujan Lokal,65 - 95,24 - 32
2017-03-26,Jakarta Utara,Pagi,Cerah Berawan,65 - 95,24 - 32
2017-03-26,Jakarta Timur,Siang,Berawan,65 - 95,24 - 32
2017-03-26,Jakarta Barat,Siang,Berawan,65 - 95,24 - 32
2017-03-26,Jakarta Selatan,Siang,Berawan,65 - 95,24 - 32
2017-03-26,Kepulauan Seribu,Siang,Hujan Petir,65 - 95,24 - 32
2017-03-26,Jakarta Pusat,Siang,Berawan,65 - 95,24 - 32
2017-03-26,Jakarta Utara,Siang,Berawan,65 - 95,24 - 32
2017-03-26,Jakarta Timur,Malam,Hujan Sedang,65 - 95,24 - 32
2017-03-26,Jakarta Barat,Malam,Hujan Ringan,65 - 95,24 - 32
2017-03-26,Jakarta Selatan,Malam,Hujan Ringan,65 - 95,24 - 32
2017-03-26,Kepulauan Seribu,Malam,Hujan Petir,65 - 95,24 - 32
2017-03-26,Jakarta Pusat,Malam,Hujan Sedang,65 - 95,24 - 32
2017-03-26,Jakarta Utara,Malam,Hujan Sedang,65 - 95,24 - 32
2017-03-26,Jakarta Timur,Dini Hari,Berawan,65 - 95,24 - 32
2017-03-26,Jakarta Barat,Dini Hari,Hujan Lokal,65 - 95,24 - 32
2017-03-26,Jakarta Selatan,Dini Hari,Berawan,65 - 95,24 - 32
2017-03-26,Kepulauan Seribu,Dini Hari,Hujan Lokal,65 - 95,24 - 32
2017-03-26,Jakarta Pusat,Dini Hari,Hujan Lokal,65 - 95,24 - 32
2017-03-26,Jakarta Utara,Dini Hari,Hujan Lokal,65 - 95,24 - 32
2017-03-27,Jakarta Timur,Pagi,Hujan Sedang,75 - 95,24 - 32
2017-03-27,Jakarta Barat,Pagi,Hujan Sedang,75 - 95,24 - 32
2017-03-27,Jakarta Selatan,Pagi,Hujan Petir,75 - 95,24 - 32
2017-03-27,Kepulauan Seribu,Pagi,Hujan Ringan,75 - 95,24 - 32
2017-03-27,Jakarta Pusat,Pagi,Hujan Sedang,75 - 95,24 - 32
2017-03-27,Jakarta Utara,Pagi,Hujan Ringan,75 - 95,24 - 32
2017-03-27,Jakarta Timur,Siang,Hujan Lokal,75 - 95,24 - 32
2017-03-27,Jakarta Barat,Siang,Hujan Ringan,75 - 95,24 - 32
2017-03-27,Jakarta Selatan,Siang,Hujan Lokal,75 - 95,24 - 32
2017-03-27,Kepulauan Seribu,Siang,Hujan Sedang,75 - 95,24 - 32
2017-03-27,Jakarta Pusat,Siang,Hujan Ringan,75 - 95,24 - 32
2017-03-27,Jakarta Utara,Siang,Hujan Sedang,75 - 95,24 - 32
2017-03-27,Jakarta Timur,Malam,Cerah,75 - 95,24 - 32
2017-03-27,Jakarta Barat,Malam,Cerah Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Selatan,Malam,Cerah,75 - 95,24 - 32
2017-03-27,Kepulauan Seribu,Malam,Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Pusat,Malam,Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Utara,Malam,Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Timur,Dini Hari,Cerah Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Barat,Dini Hari,Cerah Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Selatan,Dini Hari,Cerah Berawan,75 - 95,24 - 32
2017-03-27,Kepulauan Seribu,Dini Hari,Cerah Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Pusat,Dini Hari,Cerah Berawan,75 - 95,24 - 32
2017-03-27,Jakarta Utara,Dini Hari,Cerah Berawan,75 - 95,24 - 32
2017-03-28,Jakarta Timur,Pagi,Hujan Ringan,65 - 95,24 - 32
2017-03-28,Jakarta Barat,Pagi,Hujan Ringan,65 - 95,24 - 32
2017-03-28,Jakarta Selatan,Pagi,Hujan Petir,65 - 95,24 - 32
2017-03-28,Kepulauan Seribu,Pagi,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Pusat,Pagi,Hujan Ringan,65 - 95,24 - 32
2017-03-28,Jakarta Utara,Pagi,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Jakarta Timur,Siang,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Jakarta Barat,Siang,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Jakarta Selatan,Siang,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Kepulauan Seribu,Siang,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Pusat,Siang,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Jakarta Utara,Siang,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Jakarta Timur,Malam,Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Barat,Malam,Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Selatan,Malam,Berawan,65 - 95,24 - 32
2017-03-28,Kepulauan Seribu,Malam,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Jakarta Pusat,Malam,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Utara,Malam,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Timur,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Barat,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Selatan,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Kepulauan Seribu,Dini Hari,Hujan Lokal,65 - 95,24 - 32
2017-03-28,Jakarta Pusat,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-03-28,Jakarta Utara,Dini Hari,Cerah Berawan,65 - 95,24 - 32
2017-03-29,Jakarta Timur,Pagi,Hujan Petir,80 - 95,24 - 34
2017-03-29,Jakarta Barat,Pagi,Hujan Sedang,80 - 95,24 - 34
2017-03-29,Jakarta Selatan,Pagi,Hujan Petir,80 - 95,24 - 34
2017-03-29,Kepulauan Seribu,Pagi,Berawan Tebal,80 - 95,24 - 34
2017-03-29,Jakarta Pusat,Pagi,Hujan Petir,80 - 95,24 - 34
2017-03-29,Jakarta Utara,Pagi,Hujan Sedang,80 - 95,24 - 34
2017-03-29,Jakarta Timur,Siang,Hujan Lokal,80 - 95,24 - 34
2017-03-29,Jakarta Barat,Siang,Berawan Tebal,80 - 95,24 - 34
2017-03-29,Jakarta Selatan,Siang,Hujan Lokal,80 - 95,24 - 34
2017-03-29,Kepulauan Seribu,Siang,Berawan Tebal,80 - 95,24 - 34
2017-03-29,Jakarta Pusat,Siang,Hujan Lokal,80 - 95,24 - 34
2017-03-29,Jakarta Utara,Siang,Hujan Lokal,80 - 95,24 - 34
2017-03-29,Jakarta Timur,Malam,Cerah Berawan,80 - 95,24 - 34
2017-03-29,Jakarta Barat,Malam,Cerah Berawan,80 - 95,24 - 34
2017-03-29,Jakarta Selatan,Malam,Cerah Berawan,80 - 95,24 - 34
2017-03-29,Kepulauan Seribu,Malam,Hujan Lokal,80 - 95,24 - 34
2017-03-29,Jakarta Pusat,Malam,Cerah Berawan,80 - 95,24 - 34
2017-03-29,Jakarta Utara,Malam,Cerah Berawan,80 - 95,24 - 34
2017-03-29,Jakarta Timur,Dini Hari,Cerah,80 - 95,24 - 34
2017-03-29,Jakarta Barat,Dini Hari,Cerah,80 - 95,24 - 34
2017-03-29,Jakarta Selatan,Dini Hari,Cerah,80 - 95,24 - 34
2017-03-29,Kepulauan Seribu,Dini Hari,Cerah,80 - 95,24 - 34
2017-03-29,Jakarta Pusat,Dini Hari,Cerah,80 - 95,24 - 34
2017-03-29,Jakarta Utara,Dini Hari,Cerah,80 - 95,24 - 34
2017-03-30,Jakarta Timur,Pagi,Hujan Petir,80 - 95,24 - 32
2017-03-30,Jakarta Barat,Pagi,Hujan Sedang,80 - 95,24 - 32
2017-03-30,Jakarta Selatan,Pagi,Hujan Petir,80 - 95,24 - 32
2017-03-30,Kepulauan Seribu,Pagi,Berawan Tebal,80 - 95,24 - 32
2017-03-30,Jakarta Pusat,Pagi,Hujan Petir,80 - 95,24 - 32
2017-03-30,Jakarta Utara,Pagi,Hujan Sedang,80 - 95,24 - 32
2017-03-30,Jakarta Timur,Siang,Berawan,80 - 95,24 - 32
2017-03-30,Jakarta Barat,Siang,Hujan Lokal,80 - 95,24 - 32
2017-03-30,Jakarta Selatan,Siang,Berawan,80 - 95,24 - 32
2017-03-30,Kepulauan Seribu,Siang,Hujan Lokal,80 - 95,24 - 32
2017-03-30,Jakarta Pusat,Siang,Berawan,80 - 95,24 - 32
2017-03-30,Jakarta Utara,Siang,Hujan Lokal,80 - 95,24 - 32
2017-03-30,Jakarta Timur,Malam,Cerah Berawan,80 - 95,24 - 32
2017-03-30,Jakarta Barat,Malam,Cerah Berawan,80 - 95,24 - 32
2017-03-30,Jakarta Selatan,Malam,Cerah Berawan,80 - 95,24 - 32
2017-03-30,Kepulauan Seribu,Malam,Hujan Lokal,80 - 95,24 - 32
2017-03-30,Jakarta Pusat,Malam,Cerah Berawan,80 - 95,24 - 32
2017-03-30,Jakarta Utara,Malam,Cerah Berawan,80 - 95,24 - 32
2017-03-30,Jakarta Timur,Dini Hari,Cerah,80 - 95,24 - 32
2017-03-30,Jakarta Barat,Dini Hari,Cerah,80 - 95,24 - 32
2017-03-30,Jakarta Selatan,Dini Hari,Cerah,80 - 95,24 - 32
2017-03-30,Kepulauan Seribu,Dini Hari,Cerah,80 - 95,24 - 32
2017-03-30,Jakarta Pusat,Dini Hari,Cerah,80 - 95,24 - 32
2017-03-30,Jakarta Utara,Dini Hari,Cerah,80 - 95,24 - 32
2017-03-31,Jakarta Timur,Pagi,Hujan Petir,75 - 100,24 - 33
2017-03-31,Jakarta Barat,Pagi,Hujan Petir,75 - 100,24 - 33
2017-03-31,Jakarta Selatan,Pagi,Hujan Petir,75 - 100,24 - 33
2017-03-31,Kepulauan Seribu,Pagi,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Pusat,Pagi,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Utara,Pagi,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Timur,Siang,Hujan Ringan,75 - 100,24 - 33
2017-03-31,Jakarta Barat,Siang,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Selatan,Siang,Hujan Ringan,75 - 100,24 - 33
2017-03-31,Kepulauan Seribu,Siang,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Pusat,Siang,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Utara,Siang,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Timur,Malam,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Barat,Malam,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Selatan,Malam,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Kepulauan Seribu,Malam,Hujan Lokal,75 - 100,24 - 33
2017-03-31,Jakarta Pusat,Malam,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Utara,Malam,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Timur,Dini Hari,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Barat,Dini Hari,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Selatan,Dini Hari,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Kepulauan Seribu,Dini Hari,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Pusat,Dini Hari,Cerah Berawan,75 - 100,24 - 33
2017-03-31,Jakarta Utara,Dini Hari,Cerah Berawan,75 - 100,24 - 33
